Constituency Code,Constituency,選區,Candidate Number,Name of Candidate,候選人姓名,No. of Votes Received,Result
M32,SAN TIN,新田,2,MAN KWAI KI,文貴旗,1193,0
M33,KAM TIN,錦田,,TANG CHEUK YIN,鄧卓然,0,2
M34,PAT HEUNG NORTH,八鄉北,1,TANG CHI KWONG,鄧志光,1471,0
M34,PAT HEUNG NORTH,八鄉北,2,TANG YUNG YIU RONNIE,鄧鎔耀,1806,1
M35,PAT HEUNG SOUTH,八鄉南,1,CHU HOI DICK EDDIE,朱凱廸,1482,0
M35,PAT HEUNG SOUTH,八鄉南,2,LAI WAI HUNG,黎偉雄,2872,1
N01,LUEN WO HUI,聯和墟,1,LAW SAI YAN,羅世恩,1981,0
N01,LUEN WO HUI,聯和墟,2,TSANG HING LUNG,曾興隆,2640,1
N01,LUEN WO HUI,聯和墟,3,LIU MING KIN,劉明堅,413,0
N02,FANLING TOWN,粉嶺市,1,WONG CHUN NING,黃晉靈,826,0
N02,FANLING TOWN,粉嶺市,2,PANG CHUN SING GEORGE,彭振聲,1403,1
N03,CHEUNG WAH,祥華,1,YIP YIU SHING CHRIS,葉曜丞,1569,0
N03,CHEUNG WAH,祥華,2,CHAN YUK MING,陳旭明,1814,1
N03,CHEUNG WAH,祥華,3,WONG KA HO,黃嘉浩,1710,0
N03,CHEUNG WAH,祥華,4,YUEN HOI WAI FEDER,阮海偉,178,0
N04,WAH DO,華都,,YIU MING,姚銘,0,2
N05,WAH MING,華明,1,LAI SUM,賴心,1814,0
N05,WAH MING,華明,2,CHAN WAI TAT,陳惠達,2660,1
N06,YAN SHING,欣盛,,LAU KWOK FAN,劉國勳,0,2
